procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0 52968976 260080 6540560    0    0     0     0 3989 4942  2  1 78 20  0  0
 0  2      0 53018832 260080 6540560    0    0     0     0 2707 2645  1  0 79 20  0  0
 1  2      0 53018592 260080 6540576    0    0     0     6 1838 2106  1  0 79 20  0  0
 1  2      0 53018592 260080 6540576    0    0     0    66 3833 4389  1  1 79 20  0  0
 1  2      0 53014992 260080 6540592    0    0     0     0 5478 6510  2  1 78 20  0  0
 1  2      0 53012720 260080 6540608    0    0     0    48 7127 8719  3  1 77 20  0  0
 0  2      0 53013120 260080 6540624    0    0     0   512 6476 7914  3  1 77 19  0  0
 0  2      0 52993536 260080 6541520    0    0     0    66 5764 6935  3  1 77 19  0  0
 1  2      0 52991232 260080 6541616    0    0     0    18 5561 6796  2  1 77 19  0  0
 1  2      0 53001632 260080 6541648    0    0     0    54 5863 7314  3  1 77 19  0  0
 0  2      0 53005376 260080 6541712    0    0     0     0 6540 8159  3  1 77 19  0  0
 1  2      0 52992256 260080 6541904    0    0     0     0 6837 8585  3  1 77 19  0  0
 1  2      0 53005264 260080 6541936    0    0     0   100 8242 10690  4  1 77 18  0  0
 1  0      0 53200832 260080 6541984    0    0     0     0 4167 4921  2  1 91  7  0  0
 0  0      0 53205968 260080 6541984    0    0     0     0  678  709  0  0 100  0  0  0
 0  0      0 53205968 260080 6541984    0    0     0    18 3001 3790  1  1 98  0  0  0
 0  0      0 53207632 260080 6542000    0    0     0    12 2525 2907  1  0 98  0  0  0
 0  0      0 53208912 260080 6542016    0    0     0     0 1045 1169  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 52982528 260080 6542032    0    0     0    22 6323 8294  3  1 85 11  0  0
 0  2      0 52983968 260080 6542064    0    0     0     0 5450 6947  2  1 77 20  0  0
 0  2      0 52983968 260080 6542064    0    0     0     2 1483 1663  1  0 79 20  0  0
 2  2      0 52983008 260080 6542112    0    0     0   160 2732 2978  1  0 79 20  0  0
 0  2      0 52983328 260080 6542128    0    0     0  1144 1683 1842  1  0 79 20  0  0
 0  2      0 53000064 260080 6542128    0    0     0   450 3378 4247  1  0 78 20  0  0
 1  2      0 53007920 260080 6542128    0    0     0    28 3845 4832  2  1 78 20  0  0
 1  2      0 53009232 260080 6542144    0    0     0     0  962 1120  0  0 80 20  0  0
 1  2      0 53001792 260080 6542144    0    0     0    38 3171 3905  1  1 79 20  0  0
 1  2      0 53001232 260080 6542160    0    0     0   622 3142 3845  1  0 79 20  0  0
