Linux 6.16.0-1002-asahi-arm (onosendai) 	03/20/2026 	_aarch64_	(10 CPU)

10:28:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:00 AM  all    0.45    0.00    0.25   19.99    0.00    0.00    0.00    0.00    0.00   79.31
10:29:00 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:00 AM    1    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
10:29:00 AM    2    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
10:29:00 AM    3    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:00 AM    4    0.00    0.00    0.50   99.50    0.00    0.00    0.00    0.00    0.00    0.00
10:29:00 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:00 AM    6    0.50    0.00    0.00   99.50    0.00    0.00    0.00    0.00    0.00    0.00
10:29:00 AM    7    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:00 AM    8    1.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.50
10:29:00 AM    9    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50

10:29:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:02 AM  all    0.15    0.00    0.10   19.94    0.00    0.00    0.00    0.00    0.00   79.81
10:29:02 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:02 AM    1    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:02 AM    2    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:02 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:02 AM    4    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:29:02 AM    5    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:02 AM    6    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:29:02 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:02 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:02 AM    9    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50

10:29:02 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:04 AM  all    0.30    0.00    0.10   19.97    0.00    0.00    0.00    0.00    0.00   79.63
10:29:04 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:04 AM    1    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:04 AM    2    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:04 AM    3    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:04 AM    4    0.50    0.00    0.00   99.50    0.00    0.00    0.00    0.00    0.00    0.00
10:29:04 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:04 AM    6    0.50    0.00    0.00   99.50    0.00    0.00    0.00    0.00    0.00    0.00
10:29:04 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:04 AM    8    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:04 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:29:04 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:06 AM  all    0.25    0.00    0.25   19.92    0.00    0.00    0.00    0.00    0.00   79.58
10:29:06 AM    0    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:06 AM    1    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:06 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:06 AM    3    1.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.49
10:29:06 AM    4    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:29:06 AM    5    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:06 AM    6    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:29:06 AM    7    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:06 AM    8    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:06 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:29:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:08 AM  all    0.10    0.00    0.10   20.03    0.00    0.00    0.00    0.00    0.00   79.77
10:29:08 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:08 AM    1    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:08 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:08 AM    3    1.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.50
10:29:08 AM    4    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:29:08 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:08 AM    6    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
10:29:08 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:08 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:08 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:29:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:10 AM  all    0.60    0.00    0.20   19.84    0.00    0.00    0.00    0.00    0.00   79.36
10:29:10 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:10 AM    1    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.99
10:29:10 AM    2    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
10:29:10 AM    3    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:10 AM    4    0.50    0.00    0.00   99.50    0.00    0.00    0.00    0.00    0.00    0.00
10:29:10 AM    5    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:10 AM    6    0.50    0.00    0.50   99.00    0.00    0.00    0.00    0.00    0.00    0.00
10:29:10 AM    7    1.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.50
10:29:10 AM    8    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:10 AM    9    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00

10:29:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:12 AM  all    0.30    0.00    0.15    7.90    0.00    0.00    0.00    0.00    0.00   91.65
10:29:12 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:12 AM    1    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:12 AM    2    1.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.51
10:29:12 AM    3    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:12 AM    4    0.00    0.00    0.50   39.50    0.00    0.00    0.00    0.00    0.00   60.00
10:29:12 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:12 AM    6    0.50    0.00    0.00   38.31    0.00    0.00    0.00    0.00    0.00   61.19
10:29:12 AM    7    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
10:29:12 AM    8    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:12 AM    9    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50

10:29:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:14 AM  all    0.15    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.70
10:29:14 AM    0    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.01
10:29:14 AM    1    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:14 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:14 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:14 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:14 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:14 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:14 AM    7    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:14 AM    8    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:14 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:29:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:16 AM  all    0.25    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.60
10:29:16 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:16 AM    1    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:16 AM    2    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:16 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:16 AM    4    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:16 AM    5    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:16 AM    6    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:16 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:16 AM    8    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:16 AM    9    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50

10:29:16 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:18 AM  all    0.05    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.85
